School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
NYC DOE,M535,New York,Public School,266,No,0,0,0,266,Yes,01/14/2017,242,24,Yes,Yes,01/27/2017,No website for building,M535,525 WEST 50TH STREET,Manhattan,NY,10019,02/03/2017,02/03/2017,"(40.726966, -74.005966)","525 WEST 50TH STREET
Manhattan, NY 10019
(40.765491188000055, -73.99362994999996)"
NYC DOE,K490,Kings,Public School,114,No,0,0,0,114,Yes,12/24/2016,108,6,Yes,Yes,02/10/2017,http://schools.nyc.gov/SchoolPortals/20/K490/default.htm,K490,8301 SHORE ROAD,Brooklyn,NY,11209,02/13/2017,02/13/2017,"(40.65642, -73.950691)","8301 SHORE ROAD
Brooklyn, NY 11209
(40.627905672000054, -74.03995537899993)"
NORWICH CITY SCHOOL DISTRICT,NORWICH MS,Chenango,Public School,64,No,60,4,0,4,Yes,12/29/2016,60,4,Yes,Yes,12/27/2016,www.norwichcsd.org,081200050003,MIDLAND DR,NORWICH,NY,13815,02/08/2017,10/12/2018,"(42.481798, -75.570013)","MIDLAND DR
NORWICH, NY 13815
(42.527775691000045, -75.51535163199998)"
NYC DOE,X660,Bronx,Public School,90,No,0,0,0,90,Yes,02/04/2017,86,4,Yes,Yes,03/03/2017,No website for building,X660,2474 CROTONA AVENUE,Bronx,NY,10458,03/06/2017,03/06/2017,"(40.85589, -73.868294)","2474 CROTONA AVENUE
Bronx, NY 10458
(40.85533678500008, -73.88287073399994)"
NYC DOE,K275,Kings,Public School,107,No,0,0,0,107,Yes,12/09/2016,90,17,Yes,Yes,01/04/2017,No website for building,K275,985 ROCKAWAY AVENUE,Brooklyn,NY,11212,01/19/2017,01/19/2017,"(40.65642, -73.950691)","985 ROCKAWAY AVENUE
Brooklyn, NY 11212
(40.65570562600004, -73.90713759399995)"
NYC DOE,K229,Kings,Public School,157,No,0,0,0,157,Yes,12/17/2016,156,1,Yes,Yes,01/06/2017,http://schools.nyc.gov/SchoolPortals/20/K229/default.htm,K229,1400 BENSON AVENUE,Brooklyn,NY,11228,01/23/2017,01/23/2017,"(40.65642, -73.950691)","1400 BENSON AVENUE
Brooklyn, NY 11228
(40.61079839300004, -74.01313613399998)"
NYC DOE,K142,Kings,Public School,131,No,0,0,0,131,Yes,12/09/2016,127,4,Yes,Yes,01/09/2017,No website for building,K142,610 HENRY STREET,Brooklyn,NY,11231,01/23/2017,01/23/2017,"(40.65642, -73.950691)","610 HENRY STREET
Brooklyn, NY 11231
(40.679428588000064, -74.00169375899998)"
NYC DOE,M110,New York,Public School,41,No,0,0,0,41,Yes,01/14/2017,40,1,Yes,Yes,02/13/2017,http://schools.nyc.gov/SchoolPortals/01/M110/default.htm,M110,285 DELANCY STREET,Manhattan,NY,10002,02/14/2017,02/14/2017,"(40.726966, -74.005966)","285 DELANCY STREET
Manhattan, NY 10002
(40.71619207200007, -73.97999062199995)"
NYC DOE,X148,Bronx,Public School,91,No,0,0,0,91,Yes,01/20/2017,73,18,Yes,Yes,02/04/2017,No website for building,X148,3630 THIRD AVENUE,Bronx,NY,10456,02/06/2017,02/06/2017,"(40.85589, -73.868294)","3630 THIRD AVENUE
Bronx, NY 10456
(40.83382507700003, -73.90425343399994)"
NYC DOE,X070,Bronx,Public School,89,No,0,0,0,89,Yes,01/19/2017,80,9,Yes,Yes,01/30/2017,http://schools.nyc.gov/SchoolPortals/09/X070/default.htm,X070,1691 WEEKS AVENUE,Bronx,NY,10457,02/03/2017,02/03/2017,"(40.85589, -73.868294)","1691 WEEKS AVENUE
Bronx, NY 10457
(40.84438712700006, -73.90763655699999)"
NYC DOE,K057,Kings,Public School,69,No,0,0,0,69,Yes,01/28/2017,64,5,Yes,Yes,03/02/2017,http://schools.nyc.gov/SchoolPortals/16/K057/default.htm,K057,125 STUYVESANT AVENUE,Brooklyn,NY,11221,03/03/2017,03/03/2017,"(40.65642, -73.950691)","125 STUYVESANT AVENUE
Brooklyn, NY 11221
(40.691201343000046, -73.93365805799993)"
NYC DOE,K787,Kings,Public School,40,No,0,0,0,40,Yes,12/15/2016,40,0,No,Yes,12/22/2016,No website for building,K787,1215 Avenue X,Brooklyn,NY,11235,01/09/2017,01/09/2017,"(40.65642, -73.950691)","1215 Avenue X
Brooklyn, NY 11235
(40.59184737700008, -73.95848453599996)"
NYC DOE,M043,New York,Public School,69,No,0,0,0,69,Yes,01/06/2017,62,7,Yes,Yes,01/23/2017,No website for building,M043,509 WEST 129 STREET,Manhattan,NY,10027,01/24/2017,01/24/2017,"(40.726966, -74.005966)","509 WEST 129 STREET
Manhattan, NY 10027
(40.81540315500007, -73.95561942499995)"
NYC DOE,K763,Kings,Public School,35,No,0,0,0,35,Yes,11/29/2016,35,0,No,Yes,12/20/2016,No website for building,K763,211 8TH STREET,Brooklyn,NY,11215,01/05/2017,01/05/2017,"(40.65642, -73.950691)","211 8TH STREET
Brooklyn, NY 11215
(40.67080882000005, -73.98789747399996)"
NYC DOE,M894,New York,Public School,92,No,0,0,0,92,Yes,01/14/2017,61,31,Yes,Yes,02/01/2017,No website for building,M894,90 TRINITY PLACE,Manhattan,NY,10006,02/03/2017,02/03/2017,"(40.726966, -74.005966)","90 TRINITY PLACE
Manhattan, NY 10006
(40.70911027300008, -74.01213805499998)"
NYC DOE,K855,Kings,Public School,61,No,0,0,0,61,Yes,12/08/2016,55,6,Yes,Yes,12/20/2016,http://schools.nyc.gov/SchoolPortals/18/k135/default.htm,K855,5811 DITMAS AVENUE,Brooklyn,NY,11218,01/05/2017,01/05/2017,"(40.65642, -73.950691)","5811 DITMAS AVENUE
Brooklyn, NY 11218
(40.643856166000035, -73.92112833699997)"
NYC DOE,K120,Kings,Public School,119,No,0,0,0,119,Yes,12/17/2016,110,9,Yes,Yes,12/28/2016,http://schools.nyc.gov/SchoolPortals/14/K120/default.htm,K120,18 BEAVER STREET,Brooklyn,NY,11206,01/13/2017,01/13/2017,"(40.65642, -73.950691)","18 BEAVER STREET
Brooklyn, NY 11206
(40.700946731000045, -73.93884294199995)"
NYC DOE,K383,Kings,Public School,149,No,0,0,0,149,Yes,12/19/2016,107,42,Yes,Yes,12/27/2016,http://schools.nyc.gov/SchoolPortals/32/K383/default.htm,K383,1300 GREENE AVENUE,Brooklyn,NY,11237,01/12/2017,01/12/2017,"(40.65642, -73.950691)","1300 GREENE AVENUE
Brooklyn, NY 11237
(40.69786017000007, -73.91966043299993)"
NYC DOE,X131,Bronx,Public School,117,No,0,0,0,117,Yes,01/19/2017,105,12,Yes,Yes,01/27/2017,http://schools.nyc.gov/SchoolPortals/08/X131/default.htm,X131,885 BOLTON AVENUE,Bronx,NY,10473,02/03/2017,02/03/2017,"(40.85589, -73.868294)","885 BOLTON AVENUE
Bronx, NY 10473
(40.823517405000075, -73.85970889099997)"
NYC DOE,K940,Kings,Public School,52,No,0,0,0,52,Yes,12/14/2016,49,3,Yes,Yes,12/22/2016,http://schools.nyc.gov/SchoolPortals/20/K030/default.htm,K940,415 OVINGTON AVENUE,Brooklyn,NY,11209,01/09/2017,01/09/2017,"(40.65642, -73.950691)","415 OVINGTON AVENUE
Brooklyn, NY 11209
(40.633420955000076, -74.02316200999996)"
NYC DOE,K253,Kings,Public School,88,No,0,0,0,88,Yes,12/15/2016,81,7,Yes,Yes,12/29/2016,http://schools.nyc.gov/SchoolPortals/21/K253/default.htm,K253,601 OCEANVIEW AVENUE,Brooklyn,NY,11235,01/17/2017,01/17/2017,"(40.65642, -73.950691)","601 OCEANVIEW AVENUE
Brooklyn, NY 11235
(40.57964005600007, -73.96191765799995)"
NYC DOE,K391,Kings,Public School,91,No,0,0,0,91,Yes,12/16/2016,80,11,Yes,Yes,01/06/2017,No website for building,K391,790 EAST NEW YORK AVENUE,Brooklyn,NY,11203,01/23/2017,01/23/2017,"(40.65642, -73.950691)","790 EAST NEW YORK AVENUE
Brooklyn, NY 11203
(40.66237755100008, -73.93702085599995)"
NYC DOE,K215,Kings,Public School,69,No,0,0,0,69,Yes,12/14/2016,61,8,Yes,Yes,12/29/2016,http://schools.nyc.gov/SchoolPortals/21/K215/default.htm,K215,415 AVENUE S,Brooklyn,NY,11223,01/17/2017,01/17/2017,"(40.65642, -73.950691)","415 AVENUE S
Brooklyn, NY 11223
(40.60208135100004, -73.97004431299996)"
NORWICH CITY SCHOOL DISTRICT,PERRY BROWNE INTERMEDIATE SCHOOL,Chenango,Public School,100,No,90,10,0,10,Yes,12/20/2016,100,3,Yes,Yes,11/30/2016,www.norwichcsd.org,081200050001,31 BEEBE AVE,NORWICH,NY,13815,02/08/2017,10/12/2018,"(42.481798, -75.570013)","31 BEEBE AVE
NORWICH, NY 13815
(42.52370018400006, -75.52708346299994)"
NYC DOE,K864,Kings,Public School,28,No,0,0,0,28,Yes,12/15/2016,26,2,Yes,Yes,12/30/2016,No website for building,K864,3109 NEWKIRK AVENUE,Brooklyn,NY,11226,01/17/2017,01/17/2017,"(40.65642, -73.950691)","3109 NEWKIRK AVENUE
Brooklyn, NY 11226
(40.64011954600005, -73.94735509199995)"
NYC DOE,K066,Kings,Public School,162,No,0,0,0,162,Yes,12/14/2016,149,13,Yes,Yes,12/29/2016,http://schools.nyc.gov/SchoolPortals/18/K066/default.htm,K066,845 EAST 96 STREET,Brooklyn,NY,11236,01/17/2017,01/17/2017,"(40.65642, -73.950691)","845 EAST 96 STREET
Brooklyn, NY 11236
(40.64840266400006, -73.90731143399995)"
NYC DOE,K243,Kings,Public School,137,No,0,0,0,137,Yes,12/08/2016,103,34,Yes,Yes,01/02/2017,http://schools.nyc.gov/SchoolPortals/16/K243/default.htm,K243,1580 DEAN STREET,Brooklyn,NY,11213,01/18/2017,01/18/2017,"(40.65642, -73.950691)","1580 DEAN STREET
Brooklyn, NY 11213
(40.676018543000055, -73.93494564399998)"
NYC DOE,K124,Kings,Public School,38,No,0,0,0,38,Yes,12/02/2016,30,8,Yes,Yes,12/15/2016,http://schools.nyc.gov/SchoolPortals/15/k124/default.htm,K124,515 4 AVENUE,Brooklyn,NY,11215,12/29/2016,12/29/2016,"(40.65642, -73.950691)","515 4 AVENUE
Brooklyn, NY 11215
(40.66761956300007, -73.99085619599998)"
NYC DOE,K240,Kings,Public School,128,No,0,0,0,128,Yes,12/17/2016,110,18,Yes,Yes,01/05/2017,http://schools.nyc.gov/SchoolPortals/22/K240/default.htm,K240,2500 NOSTRAND AVENUE,Brooklyn,NY,11210,01/20/2017,01/20/2017,"(40.65642, -73.950691)","2500 NOSTRAND AVENUE
Brooklyn, NY 11210
(40.62377257900005, -73.94632821199997)"
NYC DOE,K282,Kings,Public School,127,No,0,0,0,127,Yes,01/28/2017,112,15,Yes,Yes,02/14/2017,http://schools.nyc.gov/SchoolPortals/13/K282/default.htm,K282,180 6 AVENUE,Brooklyn,NY,11217,02/15/2017,02/15/2017,"(40.65642, -73.950691)","180 6 AVENUE
Brooklyn, NY 11217
(40.67640118200006, -73.97736024999995)"
NYC DOE,M905,New York,Public School,18,No,0,0,0,18,Yes,03/31/2017,18,0,No,Yes,04/07/2017,No website for building,M905,890 BROADWAY,Manhattan,NY,10003,04/10/2017,04/10/2017,"(40.726966, -74.005966)","890 BROADWAY
Manhattan, NY 10003
(40.738637148000066, -73.98987961199998)"
NYC DOE,K016,Kings,Public School,160,No,0,0,0,160,Yes,12/02/2016,154,6,Yes,Yes,12/16/2016,http://schools.nyc.gov/SchoolPortals/14/k016/default.htm,K016,157 WILSON STREET,Brooklyn,NY,11211,12/30/2016,12/30/2016,"(40.65642, -73.950691)","157 WILSON STREET
Brooklyn, NY 11211
(40.70571775600007, -73.96193622899995)"
NYC DOE,X790,Bronx,Public School,281,No,0,0,0,281,Yes,01/07/2017,268,13,Yes,Yes,01/30/2017,No website for building,X790,730 CONCOURSE VILLAGE WEST,Bronx,NY,10451,02/03/2017,02/03/2017,"(40.85589, -73.868294)","730 CONCOURSE VILLAGE WEST
Bronx, NY 10451
(40.822592050000026, -73.92363338799998)"
NYC DOE,M208,New York,Public School,108,No,0,0,0,108,Yes,01/21/2017,106,2,Yes,Yes,02/03/2017,http://schools.nyc.gov/SchoolPortals/03/M208/default.htm,M208,21 WEST 111 STREET,Manhattan,NY,10026,02/06/2017,02/06/2017,"(40.726966, -74.005966)","21 WEST 111 STREET
Manhattan, NY 10026
(40.798178214000075, -73.95041194999999)"
NYC DOE,X115,Bronx,Public School,55,No,0,0,0,55,Yes,01/18/2017,55,0,No,Yes,01/26/2017,No website for building,X115,120 EAST 184 STREET,Bronx,NY,10468,02/03/2017,02/03/2017,"(40.85589, -73.868294)","120 EAST 184 STREET
Bronx, NY 10468
(40.859678400000064, -73.90004164699997)"
NYC DOE,X084,Bronx,Public School,143,No,0,0,0,143,Yes,01/18/2017,131,12,Yes,Yes,02/09/2017,No website for building,X084,1434 LONGFELLOW AVENUE,Bronx,NY,10459,02/10/2017,02/10/2017,"(40.85589, -73.868294)","1434 LONGFELLOW AVENUE
Bronx, NY 10459
(40.83080807600004, -73.88742180399998)"
NYC DOE,K650,Kings,Public School,179,No,0,0,0,179,Yes,12/10/2016,169,10,Yes,Yes,12/23/2016,No website for building,K650,257 NORTH 6 STREET,Brooklyn,NY,11211,01/10/2017,01/10/2017,"(40.65642, -73.950691)","257 NORTH 6 STREET
Brooklyn, NY 11211
(40.71515276300005, -73.95484637299995)"
NYC DOE,M868,New York,Public School,134,No,0,0,0,134,Yes,01/05/2017,131,3,Yes,Yes,01/18/2017,No website for building,M868,10 East 15th Street,Manhattan,NY,10003,01/24/2017,01/24/2017,"(40.726966, -74.005966)","10 East 15th Street
Manhattan, NY 10003
(40.73632181200003, -73.99234519199996)"
NYC DOE,K290,Kings,Public School,102,No,0,0,0,102,Yes,12/10/2016,95,7,Yes,Yes,12/22/2016,http://schools.nyc.gov/SchoolPortals/19/K290/default.htm,K290,135 SCHENCK AVENUE,Brooklyn,NY,11207,01/09/2017,01/09/2017,"(40.65642, -73.950691)","135 SCHENCK AVENUE
Brooklyn, NY 11207
(40.67811646400003, -73.88980992199998)"
NYC DOE,K825,Kings,Public School,34,No,0,0,0,34,Yes,04/20/2017,32,2,Yes,Yes,04/25/2017,No website for building,K825,173 CONOVER STREET,Brooklyn,NY,11231,04/26/2017,04/26/2017,"(40.65642, -73.950691)","173 CONOVER STREET
Brooklyn, NY 11231
(40.67793308100005, -74.01435399599995)"
NYC DOE,X942,Bronx,Public School,4,No,0,0,0,4,Yes,01/13/2017,4,0,No,Yes,01/26/2017,No website for building,X942,4550 CARPENTER AVENUE,Bronx,NY,10470,02/03/2017,02/03/2017,"(40.85589, -73.868294)","4550 CARPENTER AVENUE
Bronx, NY 10470
(40.902412233000064, -73.85465818999995)"
NYC DOE,X099,Bronx,Public School,45,No,0,0,0,45,Yes,01/20/2017,43,2,Yes,Yes,02/01/2017,http://schools.nyc.gov/SchoolPortals/12/X099/default.htm,X099,1180 REV. J.A. POLITE AVE.,Bronx,NY,10459,02/03/2017,02/03/2017,"(40.85589, -73.868294)","1180 REV. J.A. POLITE AVE.
Bronx, NY 10459
(40.82618000000008, -73.89315999999997)"
NYC DOE,K436,Kings,Public School,21,No,0,0,0,21,Yes,01/28/2017,21,0,No,Yes,02/22/2017,No website for building,K436,125-08 FLATLANDS AVENUE,Brooklyn,NY,11208,02/23/2017,02/23/2017,"(40.65642, -73.950691)","125-08 FLATLANDS AVENUE
Brooklyn, NY 11208
(40.61772607200004, -73.94121759899997)"
NYC DOE,K840,Kings,Public School,8,No,0,0,0,8,Yes,12/14/2016,8,0,No,Yes,12/29/2016,No website for building,K840,976 PRESIDENT STREET,Brooklyn,NY,11225,01/17/2017,01/17/2017,"(40.65642, -73.950691)","976 PRESIDENT STREET
Brooklyn, NY 11225
(40.66925583500006, -73.96045945899994)"
NYC DOE,X130,Bronx,Public School,97,No,0,0,0,97,Yes,01/07/2017,94,3,Yes,Yes,01/23/2017,http://schools.nyc.gov/SchoolPortals/08/X130/default.htm,X130,750 PROSPECT AVENUE,Bronx,NY,10455,01/24/2017,01/24/2017,"(40.85589, -73.868294)","750 PROSPECT AVENUE
Bronx, NY 10455
(40.817916713000045, -73.90231117399998)"
NYC DOE,K110,Kings,Public School,28,No,0,0,0,28,Yes,04/08/2017,28,0,No,Yes,12/29/2016,http://schools.nyc.gov/SchoolPortals/14/K110/default.htm,K110,124 MONITOR STREET,Brooklyn,NY,11222,01/10/2017,04/12/2017,"(40.65642, -73.950691)","124 MONITOR STREET
Brooklyn, NY 11222
(40.723619144000054, -73.94222862399994)"
NYC DOE,K162,Kings,Public School,57,No,0,0,0,57,Yes,12/02/2016,45,12,Yes,Yes,12/21/2016,http://schools.nyc.gov/SchoolPortals/32/K162/default.htm,K162,1390 WILLOUGHBY AVENUE,Brooklyn,NY,11237,01/06/2017,01/06/2017,"(40.65642, -73.950691)","1390 WILLOUGHBY AVENUE
Brooklyn, NY 11237
(40.70707437600004, -73.91988774199996)"
NYC DOE,M060,New York,Public School,75,No,0,0,0,75,Yes,01/14/2017,73,2,Yes,Yes,02/22/2017,No website for building,M060,420 EAST 12 STREET,Manhattan,NY,10009,02/23/2017,02/23/2017,"(40.726966, -74.005966)","420 EAST 12 STREET
Manhattan, NY 10009
(40.72950777500006, -73.98240300999998)"
NYC DOE,X154,Bronx,Public School,115,No,0,0,0,115,Yes,01/07/2017,113,2,Yes,Yes,01/13/2017,http://schools.nyc.gov/SchoolPortals/07/X154/default.htm,X154,333 EAST 135 STREET,Bronx,NY,10454,01/24/2017,01/24/2017,"(40.85589, -73.868294)","333 EAST 135 STREET
Bronx, NY 10454
(40.80792909000007, -73.92594115499998)"
NYC DOE,M019,New York,Public School,91,No,0,0,0,91,Yes,01/05/2017,90,1,Yes,Yes,02/06/2017,http://schools.nyc.gov/SchoolPortals/01/M019/default.htm,M019,185 1 AVENUE,Manhattan,NY,10003,02/07/2017,02/07/2017,"(40.726966, -74.005966)","185 1 AVENUE
Manhattan, NY 10003
(40.72965425700005, -73.98383884999998)"
NORTHEASTERN CLINTON CENTRAL SCHOOL,ROUSES POINT ES,Clinton,Public School,23,No,13,0,0,23,Yes,09/27/2016,44,2,Yes,Yes,01/10/2018,www.nccscougar.org,090501040003,80 MAPLE ST,ROUSES POINT,NY,12979,10/18/2018,11/19/2018,"(44.731944, -73.548883)","80 MAPLE ST
ROUSES POINT, NY 12979
(44.98707680700005, -73.36660034699997)"
NYC DOE,K384,Kings,Public School,137,No,0,0,0,137,Yes,11/29/2016,127,10,Yes,Yes,03/03/2017,http://schools.nyc.gov/SchoolPortals/32/K384/default.htm,K384,242 COOPER STREET,Brooklyn,NY,11207,12/30/2016,03/08/2017,"(40.65642, -73.950691)","242 COOPER STREET
Brooklyn, NY 11207
(40.690144247000035, -73.90496183499994)"
NYC DOE,K891,Kings,Public School,13,No,0,0,0,13,Yes,12/14/2016,9,4,Yes,Yes,01/13/2017,No website for building,K891,532 ALBANY AVENUE,Brooklyn,NY,11213,01/24/2017,01/24/2017,"(40.65642, -73.950691)","532 ALBANY AVENUE
Brooklyn, NY 11213
(40.66185261600003, -73.93996923999998)"
NYC DOE,M282,New York,Public School,206,No,0,0,0,206,Yes,01/10/2017,167,39,Yes,Yes,01/25/2017,http://schools.nyc.gov/SchoolPortals/02/M282/default.htm,M282,7 BEAVER STREET,Manhattan,NY,10004,01/26/2017,01/26/2017,"(40.726966, -74.005966)","7 BEAVER STREET
Manhattan, NY 10004
(40.70508339700007, -74.01292050999996)"
NYC DOE,K994,Kings,Public School,43,No,0,0,0,43,Yes,12/08/2016,36,7,Yes,Yes,12/29/2016,No website for building,K994,1119 BEDFORD AVENUE,Brooklyn,NY,11216,01/17/2017,01/17/2017,"(40.65642, -73.950691)","1119 BEDFORD AVENUE
Brooklyn, NY 11216
(40.68545034300007, -73.95427608399996)"
NYC DOE,K081,Kings,Public School,170,No,0,0,0,170,Yes,12/02/2016,165,5,Yes,Yes,12/23/2016,http://schools.nyc.gov/SchoolPortals/16/K081/default.htm,K081,990 DEKALB AVENUE,Brooklyn,NY,11221,01/10/2017,01/10/2017,"(40.65642, -73.950691)","990 DEKALB AVENUE
Brooklyn, NY 11221
(40.69317658700004, -73.93531834799995)"
NYC DOE,X003,Bronx,Public School,134,No,0,0,0,134,Yes,01/13/2017,130,4,Yes,Yes,02/07/2017,http://schools.nyc.gov/SchoolPortals/10/X003/default.htm,X003,2100 LAFONTAINE AVENUE,Bronx,NY,10457,02/08/2017,02/08/2017,"(40.85589, -73.868294)","2100 LAFONTAINE AVENUE
Bronx, NY 10457
(40.849868238000056, -73.89223815799994)"
NYC DOE,M445,New York,Public School,127,No,0,0,0,127,Yes,01/25/2017,118,9,Yes,Yes,02/08/2017,No website for building,M445,350 GRAND STREET,Manhattan,NY,10002,02/09/2017,02/09/2017,"(40.726966, -74.005966)","350 GRAND STREET
Manhattan, NY 10002
(40.716869709000036, -73.98956535599996)"
NYC DOE,M495,New York,Public School,29,No,0,0,0,29,Yes,01/11/2017,29,0,No,Yes,01/30/2017,http://schools.nyc.gov/SchoolPortals/04/M495/default.htm,M495,230 EAST 105 STREET,Manhattan,NY,10029,02/03/2017,02/03/2017,"(40.726966, -74.005966)","230 EAST 105 STREET
Manhattan, NY 10029
(40.79034078600006, -73.94393296599998)"
NYC DOE,K138,Kings,Public School,72,No,0,0,0,72,Yes,12/20/2016,65,7,Yes,Yes,01/27/2017,http://schools.nyc.gov/SchoolPortals/17/K138/default.htm,K138,801 PARK PLACE,Brooklyn,NY,11216,02/03/2017,02/03/2017,"(40.65642, -73.950691)","801 PARK PLACE
Brooklyn, NY 11216
(40.673504482000055, -73.95138838199995)"
NYC DOE,M163,New York,Public School,110,No,0,0,0,110,Yes,01/14/2017,105,5,Yes,Yes,02/04/2017,http://schools.nyc.gov/SchoolPortals/03/M163/default.htm,M163,163 WEST 97 STREET,Manhattan,NY,10025,02/06/2017,02/06/2017,"(40.726966, -74.005966)","163 WEST 97 STREET
Manhattan, NY 10025
(40.794348236000076, -73.96890272299999)"
NYC DOE,M876,New York,Public School,62,No,0,0,0,62,Yes,02/11/2017,54,8,Yes,Yes,03/10/2017,No website for building,M876,501 WEST 165TH STREET,Manhattan,NY,10032,03/13/2017,03/13/2017,"(40.726966, -74.005966)","501 WEST 165TH STREET
Manhattan, NY 10032
(40.83805384500005, -73.93833611299993)"
NYC DOE,K416,Kings,Public School,15,No,0,0,0,15,Yes,12/16/2016,11,4,Yes,Yes,01/10/2017,No website for building,K416,5800 TILDEN AVENUE,Brooklyn,NY,11203,01/23/2017,01/23/2017,"(40.65642, -73.950691)","5800 TILDEN AVENUE
Brooklyn, NY 11203
(40.648628563000045, -73.92230915199997)"
NYC DOE,M056,New York,Public School,150,No,0,0,0,150,Yes,01/10/2017,121,29,Yes,Yes,01/23/2017,No website for building,M056,220 HENRY STREET,Manhattan,NY,10002,01/24/2017,01/24/2017,"(40.726966, -74.005966)","220 HENRY STREET
Manhattan, NY 10002
(40.71366958700003, -73.98632121099996)"
NORTHEAST CENTRAL SCHOOL DISTRICT,WEBUTUCK HIGH SCHOOL,Dutchess,Public School,49,No,49,0,0,47,Yes,09/26/2016,47,2,Yes,Yes,11/14/2016,www.webutuckschools.com,131101040004,HAIGHT RD,AMENIA,NY,12501,01/03/2017,11/29/2016,"(41.686216, -73.840468)","HAIGHT RD
AMENIA, NY 12501
(41.887424113000066, -73.54079304999993)"
NYC DOE,K247,Kings,Public School,56,No,0,0,0,56,Yes,12/14/2016,44,12,Yes,Yes,12/27/2016,http://schools.nyc.gov/SchoolPortals/20/K247/default.htm,K247,7000 21 AVENUE,Brooklyn,NY,11204,01/12/2017,01/12/2017,"(40.65642, -73.950691)","7000 21 AVENUE
Brooklyn, NY 11204
(40.61208735100007, -73.98692318799993)"
NYC DOE,X953,Bronx,Public School,21,No,0,0,0,21,No,02/04/2017,20,1,Yes,Yes,03/13/2017,No website for building,X953,3450 EAST TREMONT AVENUE,Bronx,NY,10465,03/15/2017,03/15/2017,"(40.85589, -73.868294)","3450 EAST TREMONT AVENUE
Bronx, NY 10465
(40.831808512000066, -73.82723567999994)"
NYC DOE,X198,Bronx,Public School,127,No,0,0,0,127,Yes,01/18/2017,123,4,Yes,Yes,01/26/2017,No website for building,X198,1180 TINTON AVENUE,Bronx,NY,10456,02/03/2017,02/03/2017,"(40.85589, -73.868294)","1180 TINTON AVENUE
Bronx, NY 10456
(40.82874265400005, -73.90056170999998)"
NYC DOE,K747,Kings,Public School,61,No,0,0,0,61,Yes,12/14/2016,59,2,Yes,Yes,12/27/2016,No website for building,K747,21 BAY 11TH STREET,Brooklyn,NY,11228,01/12/2017,01/12/2017,"(40.65642, -73.950691)","21 BAY 11TH STREET
Brooklyn, NY 11228
(40.61004984200008, -74.00849058599994)"
NYC DOE,K217,Kings,Public School,121,No,0,0,0,121,Yes,12/13/2016,115,6,Yes,Yes,12/28/2016,http://schools.nyc.gov/SchoolPortals/22/K217/default.htm,K217,1100 NEWKIRK AVENUE,Brooklyn,NY,11230,01/13/2017,01/13/2017,"(40.65642, -73.950691)","1100 NEWKIRK AVENUE
Brooklyn, NY 11230
(40.63396695000006, -73.96651124299996)"
NYC DOE,K366,Kings,Public School,98,No,0,0,0,98,Yes,12/15/2016,91,7,Yes,Yes,12/30/2016,http://schools.nyc.gov/SchoolPortals/18/K366/default.htm,K366,965 EAST 107TH STREET,Brooklyn,NY,11236,01/17/2017,01/17/2017,"(40.65642, -73.950691)","965 EAST 107TH STREET
Brooklyn, NY 11236
(40.647300726000026, -73.89199310299995)"
NYC DOE,K296,Kings,Public School,85,No,0,0,0,85,Yes,12/17/2016,71,14,Yes,Yes,01/10/2017,No website for building,K296,125 COVERT STREET,Brooklyn,NY,11207,01/23/2017,01/23/2017,"(40.65642, -73.950691)","125 COVERT STREET
Brooklyn, NY 11207
(40.68876344300003, -73.90996474399998)"
NYC DOE,X104,Bronx,Public School,81,No,0,0,0,81,Yes,01/20/2017,73,8,Yes,Yes,01/26/2017,No website for building,X104,1449 SHAKESPEARE AVENUE,Bronx,NY,10452,02/03/2017,02/03/2017,"(40.85589, -73.868294)","1449 SHAKESPEARE AVENUE
Bronx, NY 10452
(40.843324781000035, -73.92028922599997)"
NYC DOE,X972,Bronx,Public School,95,No,0,0,0,95,Yes,01/18/2017,80,15,Yes,Yes,01/30/2017,No website for building,X972,1440 STORY AVENUE,Bronx,NY,10473,02/03/2017,02/03/2017,"(40.85589, -73.868294)","1440 STORY AVENUE
Bronx, NY 10473
(40.82124262700006, -73.88061770999997)"
NYC DOE,K003,Kings,Public School,109,No,0,0,0,109,Yes,11/29/2016,97,12,Yes,Yes,12/19/2016,http://schools.nyc.gov/SchoolPortals/13/K003/default.htm,K003,50 JEFFERSON AVENUE,Brooklyn,NY,11216,01/04/2017,03/15/2017,"(40.65642, -73.950691)","50 JEFFERSON AVENUE
Brooklyn, NY 11216
(40.682629646000066, -73.95534784799997)"
NYC DOE,K023,Kings,Public School,133,No,0,0,0,133,Yes,01/28/2017,129,4,Yes,Yes,03/20/2017,http://schools.nyc.gov/SchoolPortals/14/K023/default.htm,K023,545 WILLOUGHBY AVENUE,Brooklyn,NY,11206,03/21/2017,03/21/2017,"(40.65642, -73.950691)","545 WILLOUGHBY AVENUE
Brooklyn, NY 11206
(40.694044347000045, -73.94776676199996)"
